tracking_type,group,category_id,label,origin,status,notes
Wellness,Wellness Budget Detail,drugs_rx_and_otc,Drugs - Rx and OTC,transaction,active,Auto-added from transactions
Wellness,Healthcare Premium,employer_health_premium,Employer Health Premium,template,deleted,Employee-share of employer-sponsored plan
Wellness,Wellness Budget Detail,exercise_health_equipment,Exercise & Health Equipment,transaction,active,Auto-added from transactions; CR104: moved wellness category out of Core Expenses.
Wellness,Wellness Budget Detail,eye_exams,Eye Exams,template,deleted,Optometrist and ophthalmologist exams
Wellness,Wellness Budget Detail,fitness,Fitness,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration; CR104: moved Wellness group category out of Core Expenses.
Wellness,Wellness Budget Detail,glasses_contacts,Glasses / Contacts,template,deleted,Frames
Wellness,Wellness Budget Detail,gym_fitness,Gym / Fitness,template,deleted,Gym memberships and fitness classes; CR112: moved to Wellness tracking type.
Wellness,Wellness Budget Detail,health_club,Health Club,transaction,active,Auto-added from transactions; CR104: moved wellness category out of Core Expenses.
Wellness,Wellness Budget Detail,hospital_bills,Hospital Bills,template,deleted,Inpatient and outpatient facility charges
Wellness,Wellness Budget Detail,lab_imaging,Lab / Imaging,template,deleted,Blood work
Wellness,Wellness Budget Detail,lasik_surgery,Lasik / Eye Surgery,template,deleted,Elective eye surgery
Wellness,Wellness Budget Detail,massage_bodywork,Massage / Bodywork,template,deleted,Therapeutic massage and chiropractic; CR112: moved to Wellness tracking type.
Wellness,Wellness Budget Detail,medical,Medical,transaction,active,Auto-added from transactions
Wellness,Healthcare Premium,medicare_part_b,Medicare Part B Premium,template,active,Monthly Part B standard + IRMAA
Wellness,Healthcare Premium,medicare_part_d,Medicare Part D Premium,template,active,Monthly Part D drug plan + IRMAA
Wellness,Healthcare Premium,medigap_premium,Medicare Part G / Medigap Premium,template,active,Medicare supplement plan G or N premiums
Wellness,Wellness Budget Detail,office_visits,Office Visits / Copays,template,deleted,Primary care and specialist copays
Wellness,Wellness Budget Detail,orthodontia,Orthodontia,template,deleted,Braces
Wellness,Wellness Budget Detail,otc_medications,OTC Medications,template,deleted,Over-the-counter pain relievers and medications
Wellness,Wellness Budget Detail,prescription_drugs,Prescription Drugs,template,deleted,Filled prescriptions and insulin
Wellness,Wellness Budget Detail,urgent_care_er,Urgent Care / ER,template,deleted,Walk-in clinic and emergency room visits
Wellness,Wellness Budget Detail,vision,Vision,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Wellness,Wellness Budget Detail,supplements,Vitamins & Supplements,template,deleted,Over-the-counter supplements and vitamins (non-Rx); CR112: moved to Wellness tracking type.
Wellness,Wellness Budget Detail,vitamins_supplements,Vitamins & Supplements,transaction,active,Auto-added from transactions; CR104: moved Wellness group category out of Core Expenses.
Wellness,Healthcare Premium,wellness_premium,Healthcare Premium,transaction,deleted,"Legacy alias row retained for backwards compatibility; use Pre-65 Healthcare Premium plus Medicare Part B, Part D, and Part G premium rows."
Housing,Home Improvement,additions_structural,Additions / Structural,template,deleted,Room additions and structural upgrades
Housing,Home Improvement,flooring_windows,Flooring / Windows,template,deleted,Hardwood
Housing,Home Improvement,home_improvement,Home Improvement,transaction,active,Auto-added from transactions
Housing,Home Improvement,kitchen_bath_remodel,Kitchen / Bath Remodel,template,deleted,Major kitchen or bathroom renovation
Housing,Home Improvement,other_improvement,Other Improvement,template,deleted,Home improvement not elsewhere classified; CR116: merged into Home Improvement
Housing,Home Improvement,roof_siding,Roof / Siding,template,deleted,Roof replacement or exterior siding
Housing,Homeowners Insurance,flood_earthquake,Flood / Earthquake Insurance,template,deleted,Separate flood or earthquake policy premiums
Housing,Homeowners Insurance,ho_insurance,Homeowners Insurance,template,active,HO-3 / HO-6 home/condo policy premiums
Housing,Homeowners Insurance,umbrella_insurance,Umbrella Liability,template,deleted,Personal umbrella liability premium
Housing,Maintenance,appliance_repair,Appliance Repair,template,deleted,Washer
Housing,Maintenance,home_maintenance,Home Maintenance,transaction,active,Auto-added from transactions
Housing,Maintenance,home_repairs,Home Repairs,template,deleted,Plumbing
Housing,Maintenance,hvac_service,HVAC Service,template,deleted,Heating/cooling maintenance and repairs
Housing,Mortgage,heloc_payment,HELOC Payment,template,deleted,HELOC interest and principal repayments
Housing,Mortgage,mortgage,Mortgage,transaction,active,Auto-added from transactions
Housing,Mortgage,mortgage_pi,Mortgage P&I,template,deleted,Principal and interest payment
Housing,Mortgage,pmi,PMI,template,deleted,Private mortgage insurance
Housing,Mortgage,rent,Rent,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Housing,Other,furniture_home_decor_kitchenware,Furniture/Home Decor/Kitchenware,transaction,active,Auto-added from transactions
Housing,Other,house_cleaning,House Cleaning,transaction,active,Auto-added from transactions
Housing,Other,cleaning_service,House Cleaning Service,template,deleted,Regular or one-time professional cleaning
Housing,Other,irrigation,Irrigation System,template,deleted,Sprinkler service and water management
Housing,Other,landscaping_lawn,Landscaping / Lawn Care,template,deleted,Lawn mowing
Housing,Other,laundry_linen,Laundry / Linen Care,template,deleted,Laundromat
Housing,Other,lawn_service_garden_flowers,Lawn Service/Garden/Flowers,transaction,active,Auto-added from transactions
Housing,Other,outdoor_plants,Outdoor Plants / Gardens,template,deleted,Plants
Housing,Other,snow_removal,Snow Removal,template,deleted,Plowing and snow-clearing service
Housing,Other,sprinkler_maintenance,Sprinkler Maintenance,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Housing,Real Estate Taxes,property_tax,Real Estate Taxes,template,deleted,Annual real estate taxes
Housing,Real Estate Taxes,real_estate_taxes,Real Estate Taxes,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Housing,Utilities,cable_tv,Cable / TV,template,deleted,Cable and satellite TV service
Housing,Utilities,dry_cleaners,Dry Cleaners,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Housing,Utilities,electric,Electric,template,deleted,Electricity bill
Housing,Utilities,garbage,Garbage,transaction,active,Auto-added from transactions
Housing,Utilities,gas_electric,Gas & Electric,transaction,active,Auto-added from transactions
Housing,Utilities,gas_heat,Gas / Heat,template,deleted,Natural gas or heating oil
Housing,Utilities,phone_home,Home Phone,template,deleted,Landline and home phone service
Housing,Utilities,internet,Internet,template,deleted,Home internet service
Housing,Utilities,internet_cable,Internet & Cable,transaction,active,Auto-added from transactions
Housing,Utilities,pest_control,Pest Control,template,active,Exterminator and pest prevention
Housing,Utilities,phone,Phone,transaction,active,Auto-added from transactions
Housing,Utilities,sewer,Sewer,transaction,active,Auto-added from transactions
Housing,Utilities,housing_utilities,Utilities,custom,active,CR116 authoritative budget-detail category
Housing,Utilities,water,Water,transaction,active,Auto-added from transactions
Housing,Utilities,water_sewer,Water / Sewer / Trash,template,deleted,Water
Travel,International Travel,foreign_currency,Foreign Currency / Fees,template,deleted,Currency exchange and foreign transaction fees
Travel,International Travel,international_flights,International Flights,template,deleted,Flights outside the US
Travel,International Travel,international_hotels,International Hotels,template,deleted,Hotels and lodging abroad
Travel,International Travel,visas_travel_insurance,Visas / Travel Insurance,template,deleted,Travel insurance and entry visa fees
Travel,Travel,entertainment_recreation,Entertainment & Recreation,transaction,active,Auto-added from transactions; CR104: moved Entertainment/Recreation to Travel.
Travel,Travel,travel_vacation,Travel & Vacation,transaction,active,Auto-added from transactions
Travel,Travel,travel_housing,Travel - Housing,transaction,active,Auto-added from transactions
Travel,Travel,travel_insurance,Travel - Insurance,transaction,active,Auto-added from transactions
Travel,Travel,travel_plane_train_bus,Travel - Plane/Train/Bus,transaction,active,Auto-added from transactions
Travel,Travel,domestic_car_rental,Car Rental,template,deleted,Car rental in the US; CR116: domestic label removed
Travel,Travel,domestic_cruise,Cruises,template,deleted,US-based cruise ships; CR116: domestic label removed
Travel,Travel,domestic_hotels,Hotels / Lodging,template,deleted,US hotels and Airbnb; CR116: domestic label removed
Travel,Travel,recurring_travel,Recurring Travel Projection,template,active,CR116: renamed as recurring travel projection
Travel,Travel Experiences,dining_at_destination,Dining at Destination,template,deleted,Restaurant spending while traveling
Travel,Travel Experiences,theme_parks,Theme Parks / Attractions,template,deleted,Disney
Travel,Travel Experiences,tours_excursions,Tours / Excursions,template,deleted,Guided tours and day-trip activities
Travel,Travel Memberships,airport_lounge,Airport Lounge,template,deleted,Priority Pass and lounge memberships
Travel,Travel Memberships,travel_club,Travel Club / Timeshare,template,deleted,Travel club membership and timeshare fees
Travel,Travel Memberships,tsa_global_entry,TSA PreCheck / Global Entry,template,deleted,Trusted traveler program fees
Travel,Vacation Home,vacation_home_hoa,Vacation Home HOA / Dues,template,deleted,HOA fees and condo dues at second home
Travel,Vacation Home,vacation_home_insurance,Vacation Home Insurance,template,deleted,Second-home property insurance
Travel,Vacation Home,vacation_home_maintenance,Vacation Home Maintenance,template,deleted,Maintenance and repair at second home
Travel,Vacation Home,vacation_home_mortgage,Vacation Home Mortgage,template,deleted,Second home P&I payment
Large Discretionary,Education / Tuition,529_contributions,529 Contributions,template,deleted,Education savings account deposits
Large Discretionary,Education / Tuition,student_loans,Student Loan Payments,template,deleted,Student debt principal and interest
Large Discretionary,Education / Tuition,tuition_payments,Tuition Payments,template,deleted,College and private school tuition
Large Discretionary,Education / Tuition,tutoring,Tutoring / Test Prep,template,deleted,Academic tutoring and test preparation
Large Discretionary,Events / Celebrations,milestone_parties,Milestone Parties,template,deleted,Bar/bat mitzvahs and anniversary events
Large Discretionary,Home Furnishings / Art,artwork_collectibles,Artwork / Collectibles,template,deleted,Fine art
Large Discretionary,Home Furnishings / Art,furniture,Furniture,template,deleted,Sofas
Large Discretionary,Home Furnishings / Art,interior_design,Interior Design,template,deleted,Professional design services and staging
Large Discretionary,Home Furnishings / Art,major_appliances,Major Appliances,template,deleted,Refrigerator
Large Discretionary,Large Gifts,significant_gifts,Large Gifts,template,active,Large gifts for events or occasions
Large Discretionary,Major Purchases,boats_rvs,Boats / RVs / Motorcycles,template,deleted,Recreational vehicles and watercraft
Large Discretionary,Major Purchases,jewelry_luxury,Luxury Goods / Jewelry,template,deleted,High-value jewelry and luxury items
Large Discretionary,Other,other_large_discretionary,Other,custom,active,Other Large Discretionary projection rows (CR117)
Large Discretionary,Professional Services,financial_advisor,Financial Advisor Fees,template,deleted,Investment advisory and planning fees
Large Discretionary,Professional Services,legal_estate,Legal / Estate Planning,template,deleted,Attorney fees and estate planning
Large Discretionary,Professional Services,tax_prep,Tax Preparation,template,deleted,CPA and tax filing fees beyond routine
Large Discretionary,Recreation / Hobbies,golf_club,Golf Club Membership,template,deleted,Golf club dues and greens fees
Large Discretionary,Recreation / Hobbies,hobby_studio,Hobby Studio / Equipment,template,deleted,Music
Large Discretionary,Recreation / Hobbies,ski_passes,Ski Passes,template,deleted,Season ski passes and resort fees
Large Discretionary,Recreation / Hobbies,sporting_equipment,Sporting Equipment,template,deleted,Bikes
Large Discretionary,Wedding,children_weddings,Children Weddings,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Large Discretionary,Wedding,weddings,Weddings,template,active,Wedding and rehearsal dinner costs
Business,Business,advertising_promotion,Advertising & Promotion,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Business,Business,advertising,Advertising / Marketing,template,deleted,Paid ads
Business,Business,banking_fees,Banking / Filing Fees,template,deleted,Business bank fees and state filing costs
Business,Business,business_auto_expenses,Business Auto Expenses,transaction,active,Auto-added from transactions
Business,Business,business_books,Business Books / Training,template,deleted,Books
Business,Business,business_events,Business Events,transaction,active,Auto-added from transactions
Business,Business,business_hardware_and_software,Business Hardware and Software,transaction,active,Auto-added from transactions
Business,Business,business_insurance,Business Insurance,template,deleted,General liability and professional indemnity
Business,Business,business_memberships,Business Memberships,transaction,active,Auto-added from transactions
Business,Business,business_reimbursement,Business Reimbursement,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Business,Business,business_revenue,Business Revenue,template,deleted,Business receipts and gross revenue
Business,Business,business_services,Business Services,transaction,deleted,Auto-added from transactions
Business,Business,business_supplies,Business Supplies,template,deleted,Office and operating supplies
Business,Business,business_taxi_uber,Business Taxi - Uber,transaction,active,Auto-added from transactions
Business,Business,business_travel_meals,Business Travel & Meals,transaction,active,Auto-added from transactions
Business,Business,business_utilities_communication,Business Utilities & Communication,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Business,Business,business_vehicles,Business Vehicles,template,deleted,Vehicles used for business purposes
Business,Business,capitalized_assets,Capitalized Assets,template,deleted,Furniture and equipment placed in service
Business,Business,certifications,Certifications / Licenses,template,deleted,Professional licensing and continuing ed
Business,Business,conferences,Conferences / Events,template,deleted,Business conferences and trade shows
Business,Business,cogs,Cost of Goods Sold,template,deleted,Inventory and direct cost of sales
Business,Business,employee_benefits,Employee Benefits,template,deleted,Health
Business,Business,hardware,Hardware / Equipment,template,deleted,Computers
Business,Business,office_rent,Office Rent,template,deleted,Commercial space lease payments
Business,Business,office_supplies_expenses,Office Supplies & Expenses,transaction,active,Auto-added from transactions
Business,Business,payroll_taxes,Payroll Taxes,template,deleted,Employer share of FICA and FUTA
Business,Business,postage_shipping,Postage & Shipping,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Business,Business,professional_dues,Professional Dues,template,deleted,Industry association memberships
Business,Business,software_saas,Software / SaaS,template,deleted,Business software subscriptions
Business,Business,wages_paid,Wages Paid,template,deleted,Employee wages and salaries paid
Business,Business,web_hosting,Web Hosting / Domain,template,deleted,Website
Transfer,Financial,income_taxes,Income Taxes,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,401k_contribution,401k Contribution,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,401k_match,401K Match,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,buy,Buy,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,cr_card_payment,Cr Card Payment,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,credit_card_payment,Credit Card Payment,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,hsa_contribution,HSA Contribution,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,sell,Sell,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Transfer,Transfer,transfer,Transfer,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
