section,subsection,label,type,required,default,min,max,description
Social Security,Member 1,ss_benefit_age_65,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 65, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_66,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 66, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_67,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 67 (Full Retirement Age for most current retirees), from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_68,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 68, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_69,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 69, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_70,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 70, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_62,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 62, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_63,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 63, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_64,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 64, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_65,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 65, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_66,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 66, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_67,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 67 (Full Retirement Age for most current retirees), from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_68,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 68, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_69,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 69, from the SSA statement/estimator, in today dollars.
Social Security,Member 2,ss_benefit_age_70,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 70, from the SSA statement/estimator, in today dollars.
Other Assets,Home,value_as_of_plan_start,dollars,TRUE,,,FMV as of plan start,
Other Assets,Home,appreciation_rate,percent,TRUE,3.00%,0,10,Annual appreciation
Other Assets,Home,home_sale_year,year,TRUE,0,0,,0=no sale; >0=sale year
Other Assets,Home,home_sale_price,dollars,FALSE,,,Gross sale price,
Other Assets,Home,home_basis,dollars,FALSE,,,Cost basis,
Other Assets,Home,home_sale_proceeds_account,text,FALSE,Wife_Trust,,,Destination account
Other Assets,Cash,value,dollars,FALSE,$0,0,,Checking-account cash outside the investment holdings table.
Scenarios,Retire Later,husband_retire_year,year,TRUE,2029,,,Extended retire year
Scenarios,Retire Later,income_growth_rate_override,percent,TRUE,0.00%,0,10,Extension year growth
Scenarios,Retire Later,salary_override,dollars,TRUE,50000,0,,Extension year salary
Scenarios,Sell Home,home_sale_year,year,TRUE,2045,,,Scenario sale year
Scenarios,Sell Home,home_sale_proceeds_account,text,TRUE,Wife_Trust,,,Destination account
Scenarios,Higher Spending,spend_multiplier,number,TRUE,1.20,1,3,Spending multiplier
Scenarios,High Inflation,inflation_override,percent,TRUE,4.50%,0,15,Scenario inflation rate
Scenarios,Low Return,portfolio_return_override,percent,TRUE,4.00%,0,15,Scenario return rate
Withdrawal Policy,Tax-Loss Harvesting,tlh_policy,choice,FALSE,off,,,off | analyze_only | apply
Withdrawal Policy,Tax-Loss Harvesting,tlh_min_loss_dollars,currency,FALSE,$500,0,,Minimum dollar loss on a lot before harvesting
Withdrawal Policy,Tax-Loss Harvesting,tlh_min_loss_pct,percent,FALSE,5.00%,0,100,Minimum loss as a percentage of cost basis before harvesting
Withdrawal Policy,Tax-Loss Harvesting,tlh_annual_ceiling,currency,FALSE,$0,0,,Maximum harvested loss per year (0 = unlimited)
Withdrawal Policy,Tax-Loss Harvesting,tlh_transaction_cost_bps,number,FALSE,2,0,100,Round-trip transaction cost in basis points on harvested market value
Withdrawal Policy,Tax-Loss Harvesting,tlh_fraction_sold_before_death,percent,FALSE,50.00%,0,100,Fraction of the replacement expected to be sold before basis step-up at death
Withdrawal Policy,Roth Conversion,roth_conversion_policy,choice,FALSE,optimize_terminal_tax,,,optimize_terminal_tax | fill_to_bracket | fill_to_irmaa | fixed_dollar | none
Withdrawal Policy,Roth Conversion,max_conversion_years,number,FALSE,10,0,50,"Maximum number of years in the voluntary Roth conversion window, also bounded by the RMD-age window."
Withdrawal Policy,Roth Conversion,max_annual_conversion_pct_of_traditional_ira,percent,FALSE,20.00%,0,100,Maximum voluntary conversion in a year as a percentage of starting traditional IRA/pre-tax balances.
Withdrawal Policy,Roth Conversion,roth_bracket_strategy,choice,FALSE,OPTIMIZER_CHOOSES,,,NONE | FILL_CURRENT_BRACKET | FILL_TARGET_BRACKET | PARTIAL_TARGET_BRACKET | IRMAA_GUARDED | SURVIVOR_TAX_AWARE | RMD_REDUCTION | LEGACY_TARGETED | OPTIMIZER_CHOOSES | FIXED_DOLLAR; strategy family considered by the Roth optimizer.
Withdrawal Policy,Roth Conversion,roth_target_bracket_rate,choice,FALSE,22.00%,,,10.00% | 12.00% | 22.00% | 24.00% | 32.00% | 35.00% | 37.00%; Default target marginal bracket ceiling used by bracket-fill policies.
Withdrawal Policy,Roth Conversion,roth_fixed_annual_amount,dollars,FALSE,50000,0,,Annual amount for fixed_dollar policy
Withdrawal Policy,Roth Conversion,roth_optimize_terminal_weight,number,FALSE,1.00,0,10,Weight on after-tax terminal net worth in optimizer objective
Withdrawal Policy,Roth Conversion,roth_optimize_lifetime_tax_weight,number,FALSE,0.25,0,10,Weight on lifetime tax penalty in optimizer objective
Withdrawal Policy,Roth Conversion,roth_optimize_terminal_pretax_tax_rate,percent,FALSE,24.00%,0,50,After-tax haircut applied to terminal pre-tax balances for objective scoring
Annuity Calibration,Purchase Rate,seg1_age_start,integer,FALSE,0,0,120,Segment 1 start age
Annuity Calibration,Purchase Rate,seg1_age_end,integer,FALSE,68,0,120,Segment 1 end age
Annuity Calibration,Purchase Rate,seg1_base_rate,percent,FALSE,5.00%,0,50,Segment 1 base rate
Annuity Calibration,Purchase Rate,seg1_slope,percent,FALSE,0.00%,0,10,Segment 1 slope per year
Annuity Calibration,Purchase Rate,seg2_age_start,integer,FALSE,68,0,120,Segment 2 start age
Annuity Calibration,Purchase Rate,seg2_age_end,integer,FALSE,75,0,120,Segment 2 end age
Annuity Calibration,Purchase Rate,seg2_base_rate,percent,FALSE,5.00%,0,50,Segment 2 base rate
Annuity Calibration,Purchase Rate,seg2_slope,percent,FALSE,0.20%,0,10,Segment 2 slope per year
Annuity Calibration,Purchase Rate,seg3_age_start,integer,FALSE,75,0,120,Segment 3 start age
Annuity Calibration,Purchase Rate,seg3_age_end,integer,FALSE,85,0,120,Segment 3 end age
Annuity Calibration,Purchase Rate,seg3_base_rate,percent,FALSE,6.40%,0,50,Segment 3 base rate
Annuity Calibration,Purchase Rate,seg3_slope,percent,FALSE,0.50%,0,10,Segment 3 slope per year
Annuity Calibration,Purchase Rate,seg4_age_start,integer,FALSE,85,0,120,Segment 4 start age
Annuity Calibration,Purchase Rate,seg4_age_end,integer,FALSE,95,0,120,Segment 4 end age
Annuity Calibration,Purchase Rate,seg4_base_rate,percent,FALSE,11.40%,0,50,Segment 4 base rate
Annuity Calibration,Purchase Rate,seg4_slope,percent,FALSE,0.70%,0,10,Segment 4 slope per year
Annuity Calibration,Purchase Rate,seg5_age_start,integer,FALSE,95,0,120,Segment 5 start age
Annuity Calibration,Purchase Rate,seg5_age_end,integer,FALSE,999,0,999,Segment 5 end age (999 = no upper bound)
Annuity Calibration,Purchase Rate,seg5_base_rate,percent,FALSE,18.40%,0,50,Segment 5 base rate
Annuity Calibration,Purchase Rate,seg5_slope,percent,FALSE,1.50%,0,10,Segment 5 slope per year
Annuity Calibration,Reserve Decay,reserve_decay_rate,number,FALSE,0.975,0,2,Annual decay factor (years 0-6)
Annuity Calibration,Reserve Decay,reserve_decay_period,integer,FALSE,6,0,30,Years of initial decay
Annuity Calibration,Reserve Decay,mortality_credit_boost,number,FALSE,1.29,0,5,Multiplier at mortality credit onset
Annuity Calibration,Reserve Decay,post_credit_decay_rate,number,FALSE,0.96,0,2,Annual decay after mortality credit
Annuity Calibration,Reserve Decay,post_credit_decay_period,integer,FALSE,16,0,40,Years of post-credit decay before the late-life growth phase
Annuity Calibration,Reserve Decay,late_life_growth_rate,number,FALSE,1.07,0,2,Annual growth factor after transition
Model Constants,Allocation,risk_tolerance,number,FALSE,0,0,10,Risk score 1-10 (0=auto-derive from age/withdrawal rate)
Model Constants,Allocation,human_capital_stability,number,FALSE,0.80,0,1,Stability factor: 0.8=stable W-2; 0.5=variable/SE
Model Constants,Allocation,concentration_employer_stock,percent,FALSE,0%,0,100,% of total wealth in employer stock
Model Constants,Allocation,concentration_real_estate,percent,FALSE,0%,0,100,% of total wealth in non-home real estate
Model Constants,Allocation,concentration_business,percent,FALSE,0%,0,100,% of total wealth in business equity
Model Constants,Allocation,glide_path,choice,FALSE,target_date,,,target_date | static
Model Constants,Allocation,inflation_sensitive_spending_pct,percent,FALSE,15%,0,100,Fraction of spending that is inflation-sensitive (wellness etc.)
Model Constants,Allocation,include_home_equity_in_allocation_view,yes/no,FALSE,YES,,,Include home equity in total portfolio allocation context.
Model Constants,Allocation,liquid_reit_target_pct_when_home_not_counted,percent,FALSE,5%,0,25,Liquid REIT target when home equity is not counted and REITs are enabled.
Market Pricing,Holdings,pricing_mode,choice,TRUE,CACHE,,,CACHE | LIVE | OFFLINE
Market Pricing,Holdings,cache_hours,number,TRUE,24,0.1,168,Fresh cache TTL
Market Pricing,API,fmp_api_key,secret,FALSE,,,,Financial Modeling Prep API key
Market Pricing,API,alpha_vantage_api_key,secret,FALSE,,,,Alpha Vantage API key
Asset Class Assumptions,US Equity,expected_return,percent,FALSE,10%,0,100,Default 10.0%; optimizer return input for US large-cap equity. Affects recommended allocation only; main projection uses Economic Assumptions > portfolio_nominal_return.
Asset Class Assumptions,US Equity,volatility,percent,FALSE,15%,0,100,Default 15.0%; optimizer risk input for US large-cap equity.
Asset Allocation Policy,Global,allocation_selection_mode,choice,FALSE,user_target,,,Allowed values: user_target | optimizer_recommendation. Selects whether Asset Allocation recommendations use the user-specified target_pct rows or the optimizer recommendation.
Asset Allocation Policy,US Equity,target_pct,percent,FALSE,45%,0,100,Recommended default 45%; user-editable target percentage for US Equity. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,US Small/Value,target_pct,percent,FALSE,5%,0,100,Recommended default 5%; user-editable target percentage for US Small/Value. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,International,target_pct,percent,FALSE,20%,0,100,Recommended default 20%; user-editable target percentage for International. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Emerging Markets,target_pct,percent,FALSE,5%,0,100,Recommended default 5%; user-editable target percentage for Emerging Markets. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Bonds,target_pct,percent,FALSE,15%,0,100,Recommended default 15%; user-editable target percentage for Bonds. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Short-Term Bonds,target_pct,percent,FALSE,5%,0,100,Recommended default 5%; user-editable target percentage for Short-Term Bonds. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,TIPS,target_pct,percent,FALSE,0%,0,100,Recommended default 0%; user-editable target percentage for TIPS. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,REITs,target_pct,percent,FALSE,0%,0,100,Recommended default 0%; user-editable target percentage for REITs. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Commodities,target_pct,percent,FALSE,0%,0,100,Recommended default 0%; user-editable target percentage for Commodities. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Managed Futures,target_pct,percent,FALSE,0%,0,100,Recommended default 0%; user-editable target percentage for Managed Futures. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Private Credit,target_pct,percent,FALSE,0%,0,100,Recommended default 0%; user-editable target percentage for Private Credit. All Asset Allocation Policy target_pct rows must total 100%.
Asset Allocation Policy,Cash,target_pct,percent,FALSE,5%,0,100,Recommended default 5%; user-editable target percentage for Cash. All Asset Allocation Policy target_pct rows must total 100%.
Asset Class Assumptions,US Small/Value,expected_return,percent,FALSE,12%,0,100,Default 12.0%; optimizer return input for US small/value equity. Affects recommended allocation only.
Asset Class Assumptions,US Small/Value,volatility,percent,FALSE,20%,0,100,Default 20.0%; optimizer risk input for US small/value equity.
Asset Class Assumptions,International,expected_return,percent,FALSE,8%,0,100,Default 8.0%; optimizer return input for developed international equity. Affects recommended allocation only.
Asset Class Assumptions,International,volatility,percent,FALSE,17%,0,100,Default 17.0%; optimizer risk input for developed international equity.
Asset Class Assumptions,Emerging Markets,expected_return,percent,FALSE,9%,0,100,Default 9.0%; optimizer return input for emerging markets equity. Affects recommended allocation only.
Asset Class Assumptions,Emerging Markets,volatility,percent,FALSE,22%,0,100,Default 22.0%; optimizer risk input for emerging markets equity.
Asset Class Assumptions,Commodities,expected_return,percent,FALSE,5%,0,100,Default 5.0%; optimizer return input for commodities/real assets. Affects recommended allocation only.
Asset Class Assumptions,Commodities,volatility,percent,FALSE,18%,0,100,Default 18.0%; optimizer risk input for commodities/real assets.
Asset Class Assumptions,Bonds,expected_return,percent,FALSE,4%,0,100,Default 4.0%; optimizer return input for investment-grade bonds. Affects recommended allocation only.
Asset Class Assumptions,Bonds,volatility,percent,FALSE,5%,0,100,Default 5.0%; optimizer risk input for investment-grade bonds.
Asset Class Assumptions,REITs,expected_return,percent,FALSE,8%,0,100,Default 8.0%; optimizer return input for REITs/real estate securities. Affects recommended allocation only.
Asset Class Assumptions,REITs,volatility,percent,FALSE,19%,0,100,Default 19.0%; optimizer risk input for REITs/real estate securities.
Asset Class Assumptions,Cash,expected_return,percent,FALSE,2%,0,100,Default 2.0%; optimizer return input for cash/money market. Affects recommended allocation only.
Asset Class Assumptions,Cash,volatility,percent,FALSE,1%,0,100,Default 1.0%; optimizer risk input for cash/money market.
Asset Class Assumptions,Short-Term Bonds,expected_return,percent,FALSE,3.5%,0,100,Default 3.5%; optimizer return input for short-duration bonds/cash-reserve bond sleeve. Lower duration and lower stock-index correlation.
Asset Class Assumptions,Short-Term Bonds,volatility,percent,FALSE,3.0%,0,100,Default 3.0%; optimizer risk input for lower-duration bond exposure.
Asset Class Assumptions,TIPS,expected_return,percent,FALSE,4.0%,0,100,Default 4.0%; Treasury Inflation-Protected Securities return input.
Asset Class Assumptions,TIPS,volatility,percent,FALSE,5.0%,0,100,Default 5.0%; real-rate/inflation-linked bond risk input.
Asset Class Assumptions,Managed Futures,expected_return,percent,FALSE,6.0%,0,100,Default 6.0%; trend-following diversifier return input.
Asset Class Assumptions,Managed Futures,volatility,percent,FALSE,10.0%,0,100,Default 10.0%; managed futures risk input.
Asset Class Assumptions,Private Credit,expected_return,percent,FALSE,7.0%,0,100,Default 7.0%; private-credit/loan/CLO-style income return input.
Asset Class Assumptions,Private Credit,volatility,percent,FALSE,8.0%,0,100,Default 8.0%; private credit risk input; may understate true drawdown risk.
Asset Class Assumptions,Global,capital_market_assumption_mode,choice,FALSE,PRESET,,,PRESET|CUSTOM_FILE. PRESET uses built-in horizon/preset tables; CUSTOM_FILE reads capital_market_assumptions.csv.
Asset Class Assumptions,Global,capital_market_assumption_horizon_years,choice,FALSE,30,1,30,Supported values: 1|3|5|10|20|25|30. Selects the time-horizon basis for allocation optimizer assumptions.
Asset Class Assumptions,Global,capital_market_assumption_preset,choice,FALSE,BASELINE,,,CONSERVATIVE|BASELINE|AGGRESSIVE. Shifts return/volatility assumptions.
Asset Class Assumptions,Global,use_custom_capital_market_file,yes/no,FALSE,NO,,,YES reads custom_capital_market_file.
Asset Class Assumptions,Global,custom_capital_market_file,text,FALSE,capital_market_assumptions.csv,,,Expert CSV path for horizon/preset return and volatility assumptions.
Asset Class Assumptions,Global,correlation_assumption_mode,choice,FALSE,PRESET,,,PRESET|ADVANCED|CUSTOM_FILE. ADVANCED applies Asset Correlations rows; CUSTOM_FILE also reads CSV.
Asset Class Assumptions,Global,correlation_preset,choice,FALSE,MODERATE,,,LOW|MODERATE|HIGH|STRESS. Controls how much diversification benefit the optimizer assumes.
Asset Class Assumptions,Global,use_custom_correlations_file,yes/no,FALSE,NO,,,YES reads custom_correlations_file.
Asset Class Assumptions,Global,custom_correlations_file,text,FALSE,asset_correlations.csv,,,Expert CSV path for pairwise correlation assumptions.
Asset Correlations,US Equity|Emerging Markets,correlation,percent,FALSE,72%,-100,100,Advanced pairwise correlation override between US Equity and Emerging Markets. Used only when correlation_assumption_mode is ADVANCED or CUSTOM_FILE.
Asset Correlations,US Equity|Bonds,correlation,percent,FALSE,-20%,-100,100,Advanced pairwise correlation override between US Equity and Bonds. Used only when correlation_assumption_mode is ADVANCED or CUSTOM_FILE.
Asset Correlations,US Equity|Managed Futures,correlation,percent,FALSE,-5%,-100,100,Advanced pairwise correlation override between US Equity and Managed Futures. Used only when correlation_assumption_mode is ADVANCED or CUSTOM_FILE.
Asset Correlations,Bonds|TIPS,correlation,percent,FALSE,55%,-100,100,Advanced pairwise correlation override between Bonds and TIPS. Used only when correlation_assumption_mode is ADVANCED or CUSTOM_FILE.
Asset Correlations,Private Credit|US Equity,correlation,percent,FALSE,45%,-100,100,Advanced pairwise correlation override between Private Credit and US Equity. Used only when correlation_assumption_mode is ADVANCED or CUSTOM_FILE.
Model Constants,Monte Carlo,recenter_regime_returns,boolean,FALSE,TRUE,,,Re-center regime/fat-tail MC return draws so configured return is the expected return
Asset Class Optimizer Controls,US Large Cap,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,US Mid Cap,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,US Small Cap,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,International,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Emerging Markets,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Commodities,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Bonds,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Short-Term Bonds,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,TIPS,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Municipal Bonds,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Managed Futures,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Private Credit,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,REITs,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Asset Class Optimizer Controls,Cash,include_in_optimizer,choice,NO,YES,,,YES allows the optimizer to consider this asset class for new target recommendations; NO excludes it while still showing existing holdings.
Withdrawal Policy,Roth Conversion,roth_objective_mode,choice,FALSE,BALANCED_RETIREMENT,,,BALANCED_RETIREMENT | MINIMIZE_LIFETIME_TAX | MAXIMIZE_TERMINAL_NET_WORTH | MAXIMIZE_PTI | LEGACY_OPTIMIZED | ESTATE_TAX_AWARE | CUSTOM_WEIGHTED; objective used to rank Roth conversion candidates. MAXIMIZE_PTI optimizes Post-Tax Inheritance (after-tax terminal net worth minus estate tax).
Withdrawal Policy,Roth Conversion,estate_tax_objective_mode,choice,FALSE,BALANCED,,,OFF | MONITOR_ONLY | BALANCED | STRONG; whether projected estate-tax exposure affects Roth optimizer scoring.
Withdrawal Policy,Roth Conversion,roth_headroom_usage_pct,percent,FALSE,95.00%,0,100,Percentage of tax bracket headroom to use for voluntary Roth conversions.
