section,subsection,label,value,units,notes,
Income Streams,Member 2 Pension,initial_guaranteed_income_payment,$525,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 2 Pension,pay_in_cash_pct,80.00%,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 2 Pension,credit_rating,A,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 2 Pension,cumulative_at_death,"$198,000",USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 2 Pension,payout_type,fixed,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 2 Single Annuity,first_payment,9/22/2032,date,non-qualified; terminates at Member 2's death,
Income Streams,Member 2 Single Annuity,base,"$50,000",USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
Income Streams,Member 2 Single Annuity,dividend_rate,5.00%,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 2 Single Annuity,additional_income_pct,20.00%,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 2 Single Annuity,deferral_years,6,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x deferral_dampening per year.,
Income Streams,Member 2 Single Annuity,reserve_factor,0.70,,Fraction of base that anchors the starting actuarial reserve (reserve_start = base x reserve_factor). The reserve then decays/grows on a fixed calibration curve over the payout years and drives both the compounding guaranteed payment and the cash dividend.,
Income Streams,Member 2 Single Annuity,deferral_dampening,0.550,,Dampens guaranteed-payment growth during the deferral period (growth rate = dividend_rate x deferral_dampening per deferral year). Lower values mean slower guaranteed-payment growth before income starts.,
Income Streams,Member 2 Single Annuity,qualified,FALSE,,Personal market. Qualified (IRA-sourced) annuities are fully taxable each year; non-qualified annuities use exclusion_ratio to exclude a basis-recovery portion.,
Income Streams,Member 2 Single Annuity,exclusion_ratio,0.700,,Taxable fraction of each non-qualified payment (the rest is treated as tax-free return of basis/principal). Only applies when qualified = FALSE.,
Income Streams,Member 2 Single Annuity,initial_guaranteed_income_payment,$265.00,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 2 Single Annuity,pay_in_cash_pct,80.00%,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 2 Single Annuity,credit_rating,A+,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 2 Single Annuity,cumulative_at_death,"$151,000",USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 2 Single Annuity,payout_type,fixed,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 2 Joint Annuity,first_payment,9/22/2030,date,qualified - RMD applies; continues to surviving spouse at js_pct,
Income Streams,Member 2 Joint Annuity,base,"$300,000",USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
Income Streams,Member 2 Joint Annuity,dividend_rate,5.00%,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 2 Joint Annuity,additional_income_pct,20.00%,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 2 Joint Annuity,deferral_years,3,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x 0.55 (deferral_dampening) per year.,
Income Streams,Member 2 Joint Annuity,qualified,TRUE,,Traditional IRA market - state exempt. Qualified (IRA-sourced) annuities are fully taxable each year.,
Income Streams,Member 2 Joint Annuity,initial_guaranteed_income_payment,$995.00,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 2 Joint Annuity,source_account,Member_2_IRA,,Account the qualified annuity is funded from; its balance is reduced when the contract is purchased.,
Income Streams,Member 2 Joint Annuity,pay_in_cash_pct,80.00%,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 2 Joint Annuity,credit_rating,A+,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 2 Joint Annuity,cumulative_at_death,"$598,000",USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 2 Joint Annuity,payout_type,fixed,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 1 Single Annuity,first_payment,4/17/2031,date,non-qualified; terminates at Member 1's death,
Income Streams,Member 1 Single Annuity,base,"$85,000",USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
Income Streams,Member 1 Single Annuity,dividend_rate,5.25%,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 1 Single Annuity,additional_income_pct,20.00%,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 1 Single Annuity,deferral_years,5,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x 0.55 (deferral_dampening) per year.,
Income Streams,Member 1 Single Annuity,qualified,FALSE,,Personal market. Qualified (IRA-sourced) annuities are fully taxable each year; non-qualified annuities use exclusion_ratio to exclude a basis-recovery portion.,
Income Streams,Member 1 Single Annuity,exclusion_ratio,0.720,,Taxable fraction of each non-qualified payment (the rest is treated as tax-free return of basis/principal). Only applies when qualified = FALSE.,
Income Streams,Member 1 Single Annuity,initial_guaranteed_income_payment,$455.00,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 1 Single Annuity,pay_in_cash_pct,80.00%,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 1 Single Annuity,credit_rating,A+,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 1 Single Annuity,cumulative_at_death,"$262,000",USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 1 Single Annuity,payout_type,fixed,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 1 Joint Annuity,first_payment,4/17/2031,date,qualified - RMD applies; continues to surviving spouse at js_pct,
Income Streams,Member 1 Joint Annuity,base,"$600,000",USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
Income Streams,Member 1 Joint Annuity,dividend_rate,5.25%,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 1 Joint Annuity,additional_income_pct,20.00%,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 1 Joint Annuity,deferral_years,5,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x 0.55 (deferral_dampening) per year.,
Income Streams,Member 1 Joint Annuity,qualified,TRUE,,Traditional IRA market - state exempt. Qualified (IRA-sourced) annuities are fully taxable each year.,
Income Streams,Member 1 Joint Annuity,initial_guaranteed_income_payment,"$2,050.00",USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 1 Joint Annuity,source_account,Member_1_IRA,,Account the qualified annuity is funded from; its balance is reduced when the contract is purchased.,
Income Streams,Member 1 Joint Annuity,pay_in_cash_pct,80.00%,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 1 Joint Annuity,credit_rating,A+,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 1 Joint Annuity,cumulative_at_death,"$1,180,000",USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 1 Joint Annuity,payout_type,fixed,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Joint-and-Survivor Percentage,js_pct,100%,pct,applies to all Joint annuities and pension; survivor receives full payment for life,
Income Streams,Present Value Horizon,age_to_value_through,85,years,Age through which annuity income is present-valued on the reporting sheets.,
Income Streams,Recovery Age,principal_recovery_age,86,years,"Age (of the relevant annuitant) at which the original principal is treated as fully recovered. Before this age, each stream pays its guaranteed payment PLUS a cash dividend (the un-reinvested share of the yearly dividend); from this age onward the cash dividend stops and only the guaranteed payment continues. Also used as the payoff horizon in the Net Worth sheet's death-benefit calc.",
Cashflow,Retirement Contributions,index_401k_limit,TRUE,yes/no,Index 401(k) contribution limit after base year.,
